place_name,street_address,address_number,city,zipcode,gmaps_url,latitude,longitude,places_url,record_created,short_description,alternate_names,date_built,date_notes,extant,place_type,architect_name,building_use,wikipedia_url,architectural_style,place_count,explore_id,explore_duplicate,chap_landmark,builder_name,inventory_relation,location_check_needed,date_razed,issue_url,street_name,neighborhood,osm_query,osm_flickr_tag_type,osm_flickr_tag_id,flickr_osm_url,source,extra_data,legislative_district,short_description_state,related_issue_url,featured,zoning_id,geo_accuracy,mihpno_district,mihp_district_name,mihp_historic_district,mihp_survey_district,housing_market_typology,chap_district,explore_url,county,state,full_address,congressional_district,council_district,source_url,official_url,interior_area_sf,lot_size_sf,nr_landmark,nr_district,NHL_designation,address_listed,lot,block,ownership_type,owner_address,owner_name,marker_symbol,slug,issue_type,sort_date,year_start,image_url,year_end,image_note,image_source,image_caption,developer_name,explore_url_show,editorial_state,development_state,unoccupied,streetview_url,streetview_image_url,religious_association,date_established,date_closed,lat_core,long_core,mihp_individual_good,events
"""The Little House"" on Montgomery Street",200 1/2 E. Montgomery Street,200 1/2,Baltimore,21230,"https://www.google.com/maps/place/200 1/2 E. Montgomery Street, Baltimore, MD",39.28021070,-76.61106530,,2017-05-03 3:38pm,,,,,T,,,,,,,376,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.2802107&lon=-76.6110653#map=19/39.2802107/-76.6110653,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/376,Baltimore City,MD,"200 1/2 E. Montgomery Street, Baltimore, MD 21230",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
Our Saviour Lutheran Church,3301 The Alameda,3301,Baltimore,21218,"https://www.google.com/maps/place/3301 The Alameda, Baltimore, MD",39.32876410,-76.59683840,,2017-07-18 2:23pm,,,,,T,Building,,Religious building,,,1,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.3287641&lon=-76.5968384#map=19/39.3287641/-76.5968384,,,,,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City Council Legislation introduced for the landmark designation of Our Saviour Lutheran Church
Harry O. Wilson House,4423 Craddock Avenue,4423,Baltimore,21212,"https://www.google.com/maps/place/4423 Craddock Avenue, Baltimore, MD",39.34458590,-76.60368400,,2017-07-18 2:26pm,,,,,,,,,,,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.3445859&lon=-76.603684#map=19/39.3445859/-76.603684,,,,,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City Council Legislation introduced for the landmark designation of the Harry O. Wilson House
[Frederick Avenue House],5002 Frederick Avenue,5002,Baltimore,21229,"https://www.google.com/maps/place/5002 Frederick Avenue, Baltimore, MD",39.28220300,-76.69714700,,2017-05-02 11:15pm,,,,,T,Building,,Dwelling,,,,,,,,,,,,,Ten Hills,http://www.openstreetmap.org/query?lat=39.282203&lon=-76.697147#map=19/39.282203/-76.697147,,,,Historic Resource Watchlist,T,41,missing,,null,1071,9,,,,,B - Middle Market Choice,,,Baltimore City,MD,"5002 Frederick Avenue Baltimore, MD 21229",7TH,8,,,,,,,,checked,,,,,,,,,,,,,,,,,,,2015 Vacants to Value Surplus Sale,Y,"https://maps.google.com/?layer=c&cbll=39.282203,-76.697147","https://maps.googleapis.com/maps/api/streetview?location=39.282203,-76.697147&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,-0.732280,-7.980930,,
6 West Mount Vernon Place,6 West Mount Vernon Place,6,Baltimore,,"https://www.google.com/maps/place/6 West Mount Vernon Place, Baltimore, MD",39.29772610,-76.61599750,,2017-05-03 12:55pm,,,,,,,,,,,,,,,,habs:md1717,,,,,Mount Vernon,http://www.openstreetmap.org/query?lat=39.2977261&lon=-76.6159975#map=19/39.2977261/-76.6159975,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 East Pleasant Street (House),9 East Pleasant Street,9,Baltimore,,"https://www.google.com/maps/place/9 East Pleasant Street, Baltimore, MD",39.29353090,-76.61479420,,2017-05-03 12:55pm,,,,,,Building,,,,,1,,,,,habs:md0136,,,,,,http://www.openstreetmap.org/query?lat=39.2935309&lon=-76.6147942#map=19/39.2935309/-76.6147942,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 North Front Street,9 North Front Street,9,Baltimore,21202,"https://www.google.com/maps/place/9 North Front Street, Baltimore, MD",39.29013920,-76.60532450,,2017-05-03 3:38pm,,,c. 1790,,T,,,,https://en.wikipedia.org/wiki/House_at_9_North_Front_Street,,,442,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.2901392&lon=-76.6053245#map=19/39.2901392/-76.6053245,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/442,Baltimore City,MD,"9 N. Front Street, Baltimore, MD 21202",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
10-12 E. West Street,10-12 E. West Street,10-12,Baltimore,21230,"https://www.google.com/maps/place/10-12 E. West Street, Baltimore, MD",39.27591000,-76.61384100,,2017-05-02 11:15pm,,,,,T,Group,,,,,,,,,,,,,,,Federal Hill,http://www.openstreetmap.org/query?lat=39.27591&lon=-76.613841#map=19/39.27591/-76.613841,,,,Historic Resource Watchlist,T,46,missing,,null,1226,9,B-5092,Federal Hill South Historic District,,,Commercial,,,Baltimore City,MD,"10-12 E. West Street Baltimore, MD 21230",3RD,11,https://slumlordwatch.wordpress.com/2010/10/20/10-12-e-west-street/,,,,,Federal Hill South Historic District,,checked,,,,,,building,,Neglect,,,,,,,,,,,,null,"https://maps.google.com/?layer=c&cbll=39.27591,-76.613841","https://maps.googleapis.com/maps/api/streetview?location=39.27591,-76.613841&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,-1.361580,0.349670,,
11 1/2 East Pleasant Street (House),11 1/2 East Pleasant Street,11,Baltimore,,"https://www.google.com/maps/place/11 1/2 East Pleasant Street, Baltimore, MD",39.29369840,-76.61466440,,2017-05-03 12:55pm,,,,,,Building,,Dwelling,,,1,,,,,habs:md0138,,,,,,http://www.openstreetmap.org/query?lat=39.2936984&lon=-76.6146644#map=19/39.2936984/-76.6146644,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 East Pleasant Street (House),11 East Pleasant Street,11,Baltimore,,"https://www.google.com/maps/place/11 East Pleasant Street, Baltimore, MD",39.29353150,-76.61478150,,2017-05-03 12:55pm,,,,,,Building,,Dwelling,,,1,,,,,habs:md0137,,,,,,http://www.openstreetmap.org/query?lat=39.2935315&lon=-76.6147815#map=19/39.2935315/-76.6147815,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
